Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
1029,21-20-45-3,ISRLU,CEE,500,0.0001,0.75,100.00%,0.1895
56,21-20-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1897
1041,21-20-45-3,ISRLU,CEE,500,0.0001,0.95,100.00%,0.1897
432,21-12-3,TANH,MSE,500,0.01,0.5,100.00%,0.19
1262,21-15-20-3,TANH,MSE,300,0.01,0.5,100.00%,0.19
1038,21-20-45-3,ISRLU,CEE,300,0.0001,0.95,100.00%,0.1904
65,21-20-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.1906
555,21-12-3,TANH,SSE,300,0.01,0.75,100.00%,0.1907
1050,21-15-20-3,ISRLU,MSE,300,0.01,0.5,100.00%,0.1907
1039,21-15-20-3,ISRLU,CEE,500,0.0001,0.75,100.00%,0.1909
231,21-12-3,ISRLU,SSE,300,0.01,0.75,100.00%,0.1911
1301,21-20-45-3,TANH,MSE,500,0.001,0.95,100.00%,0.1915
1305,21-20-45-3,TANH,MSE,500,0.001,0.95,100.00%,0.1915
1081,21-20-45-3,ISRLU,MSE,500,0.001,0.75,100.00%,0.1917
1296,21-15-20-3,TANH,MSE,500,0.001,0.75,100.00%,0.1917
1304,21-15-20-3,TANH,MSE,500,0.001,0.95,100.00%,0.1917
134,21-20-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1919
1285,21-20-45-3,TANH,MSE,500,0.001,0.5,100.00%,0.1919
1297,21-20-45-3,TANH,MSE,500,0.001,0.75,100.00%,0.1921
67,21-15-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.1922
1364,21-15-20-3,TANH,SSE,500,0.001,0.75,100.00%,0.1922
1293,21-20-45-3,TANH,MSE,500,0.001,0.75,100.00%,0.1923
1361,21-20-45-3,TANH,SSE,500,0.001,0.5,100.00%,0.1924
1360,21-15-20-3,TANH,SSE,500,0.001,0.5,100.00%,0.1926
1292,21-15-20-3,TANH,MSE,500,0.001,0.75,100.00%,0.1927
1080,21-15-20-3,ISRLU,MSE,500,0.001,0.75,100.00%,0.1928
1365,21-20-45-3,TANH,SSE,500,0.001,0.75,100.00%,0.1928
458,21-20-3,TANH,MSE,500,0.01,0.95,100.00%,0.1929
1087,21-20-45-3,ISRLU,MSE,300,0.001,0.95,100.00%,0.193
1076,21-15-20-3,ISRLU,MSE,500,0.001,0.75,100.00%,0.1932
1289,21-20-45-3,TANH,MSE,500,0.001,0.5,100.00%,0.1933
1356,21-15-20-3,TANH,SSE,500,0.001,0.5,100.00%,0.1933
1061,21-20-45-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1934
1300,21-15-20-3,TANH,MSE,500,0.001,0.95,100.00%,0.1935
1357,21-20-45-3,TANH,SSE,500,0.001,0.5,100.00%,0.1935
1288,21-15-20-3,TANH,MSE,500,0.001,0.5,100.00%,0.194
1284,21-15-20-3,TANH,MSE,500,0.001,0.5,100.00%,0.1943
1147,21-20-45-3,ISRLU,SSE,300,0.001,0.5,100.00%,0.1948
1156,21-15-20-3,ISRLU,SSE,500,0.001,0.95,100.00%,0.1948
1088,21-15-20-3,ISRLU,MSE,500,0.001,0.95,100.00%,0.1959
1303,21-20-45-3,TANH,MSE,300,0.001,0.95,100.00%,0.196
607,21-15-3,TANH,SSE,500,0.001,0.95,100.00%,0.1972
482,21-20-3,TANH,MSE,500,0.001,0.75,100.00%,0.1973
500,21-20-3,TANH,MSE,500,0.001,0.95,100.00%,0.1973
