Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
99,21-12-3,ISRLU,CEE,300,0.0001,0.95,97.66%,0.2052
78,21-12-3,ISRLU,CEE,500,0.0001,0.5,97.66%,0.2063
267,21-12-3,ISRLU,SSE,300,0.001,0.75,97.66%,0.2075
819,21-12-3,RELU,MSE,300,0.001,0.95,97.66%,0.2075
472,21-15-3,TANH,MSE,300,0.001,0.5,97.66%,0.2124
799,21-15-3,RELU,MSE,500,0.001,0.5,97.65%,0.2079
102,21-12-3,ISRLU,CEE,500,0.0001,0.95,97.45%,0.1987
1040,21-15-20-3,ISRLU,CEE,500,0.0001,0.95,97.45%,0.2
14,21-20-3,ISRLU,CEE,500,0.01,0.75,97.45%,0.2007
708,21-12-3,RELU,CEE,500,0.001,0.95,97.45%,0.2019
901,21-15-3,RELU,SSE,500,0.001,0.5,97.45%,0.2072
933,21-12-3,RELU,SSE,300,0.001,0.95,97.45%,0.2074
1014,21-15-20-3,ISRLU,CEE,300,0.001,0.95,97.45%,0.2107
1101,21-20-45-3,ISRLU,MSE,500,0.0001,0.75,97.45%,0.2123
74,21-20-3,ISRLU,CEE,500,0.0001,0.5,97.45%,0.2132
610,21-15-3,TANH,SSE,300,0.001,0.95,97.45%,0.2134
603,21-12-3,TANH,SSE,300,0.001,0.95,97.45%,0.2147
1172,21-15-20-3,ISRLU,SSE,500,0.0001,0.75,97.45%,0.2158
312,21-12-3,ISRLU,SSE,500,0.0001,0.95,97.45%,0.2184
11,21-20-3,ISRLU,CEE,300,0.01,0.5,97.23%,0.2035
780,21-12-3,RELU,MSE,500,0.01,0.95,97.23%,0.204
808,21-15-3,RELU,MSE,300,0.001,0.75,97.23%,0.2043
1025,21-20-45-3,ISRLU,CEE,500,0.0001,0.5,97.23%,0.2084
935,21-20-3,RELU,SSE,300,0.001,0.95,97.23%,0.2085
1186,21-15-20-3,ISRLU,SSE,300,0.0001,0.95,97.23%,0.2092
82,21-15-3,ISRLU,CEE,300,0.0001,0.5,97.23%,0.2111
829,21-15-3,RELU,MSE,500,0.0001,0.5,97.23%,0.2155
100,21-15-3,ISRLU,CEE,300,0.0001,0.95,97.23%,0.223
428,21-20-3,TANH,CEE,500,0.0001,0.95,97.23%,0.259
1245,21-20-45-3,TANH,CEE,500,0.0001,0.75,97.23%,0.2612
891,21-12-3,RELU,SSE,300,0.01,0.95,97.02%,0.2029
805,21-15-3,RELU,MSE,500,0.001,0.75,97.02%,0.2058
934,21-15-3,RELU,SSE,300,0.001,0.95,97.02%,0.211
211,21-15-3,ISRLU,MSE,500,0.0001,0.95,97.02%,0.2114
1112,21-15-20-3,ISRLU,MSE,500,0.0001,0.95,97.02%,0.2118
13,21-15-3,ISRLU,CEE,500,0.01,0.75,96.81%,0.1989
870,21-12-3,RELU,SSE,300,0.01,0.5,96.81%,0.2065
748,21-15-3,RELU,CEE,300,0.0001,0.95,96.81%,0.2075
804,21-12-3,RELU,MSE,500,0.001,0.75,96.81%,0.2128
1099,21-20-45-3,ISRLU,MSE,300,0.0001,0.5,96.81%,0.2135
925,21-15-3,RELU,SSE,500,0.001,0.95,96.81%,0.2168
1363,21-20-45-3,TANH,SSE,300,0.001,0.5,96.81%,0.2173
1256,21-15-20-3,TANH,CEE,500,0.0001,0.95,96.81%,0.2624
986,21-15-20-3,ISRLU,CEE,300,0.01,0.75,96.60%,0.1963
910,21-15-3,RELU,SSE,300,0.001,0.5,96.60%,0.2028
826,21-15-3,RELU,MSE,300,0.001,0.95,96.60%,0.2092
1105,21-20-45-3,ISRLU,MSE,500,0.0001,0.75,96.60%,0.2132
1167,21-20-45-3,ISRLU,SSE,300,0.0001,0.5,96.60%,0.2133
188,21-20-3,ISRLU,MSE,500,0.0001,0.5,96.60%,0.2187
943,21-15-3,RELU,SSE,500,0.0001,0.5,96.60%,0.2218
950,21-20-3,RELU,SSE,500,0.0001,0.75,96.60%,0.2233
866,21-20-3,RELU,SSE,500,0.01,0.5,96.38%,0.1948
148,21-15-3,ISRLU,MSE,300,0.001,0.5,96.38%,0.2071
771,21-12-3,RELU,MSE,300,0.01,0.75,96.38%,0.2097
770,21-20-3,RELU,MSE,500,0.01,0.75,96.38%,0.2109
94,21-15-3,ISRLU,CEE,300,0.0001,0.75,96.38%,0.2173
1180,21-15-20-3,ISRLU,SSE,500,0.0001,0.95,96.38%,0.22
308,21-20-3,ISRLU,SSE,500,0.0001,0.75,96.38%,0.2248
416,21-20-3,TANH,CEE,500,0.0001,0.75,96.38%,0.2637
1001,21-20-45-3,ISRLU,CEE,500,0.001,0.5,96.17%,0.2006
961,21-15-3,RELU,SSE,500,0.0001,0.95,96.17%,0.213
1184,21-15-20-3,ISRLU,SSE,500,0.0001,0.95,96.17%,0.2133
398,21-20-3,TANH,CEE,500,0.0001,0.5,96.17%,0.2606
1249,21-20-45-3,TANH,CEE,500,0.0001,0.75,96.17%,0.2606
1247,21-20-45-3,TANH,CEE,300,0.0001,0.75,96.17%,0.2639
717,21-12-3,RELU,CEE,300,0.001,0.95,95.96%,0.1972
985,21-20-45-3,ISRLU,CEE,500,0.01,0.75,95.96%,0.1979
26,21-20-3,ISRLU,CEE,500,0.01,0.95,95.96%,0.2004
994,21-15-20-3,ISRLU,CEE,300,0.01,0.95,95.96%,0.2037
893,21-20-3,RELU,SSE,300,0.01,0.95,95.96%,0.2047
64,21-15-3,ISRLU,CEE,300,0.001,0.95,95.96%,0.2116
89,21-20-3,ISRLU,CEE,300,0.0001,0.75,95.96%,0.2161
1187,21-20-45-3,ISRLU,SSE,300,0.0001,0.95,95.96%,0.217
101,21-20-3,ISRLU,CEE,300,0.0001,0.95,95.96%,0.2172
1175,21-20-45-3,ISRLU,SSE,300,0.0001,0.75,95.96%,0.2191
1045,21-20-45-3,ISRLU,MSE,500,0.01,0.5,95.74%,0.2054
823,21-15-3,RELU,MSE,500,0.001,0.95,95.74%,0.213
907,21-15-3,RELU,SSE,500,0.001,0.5,95.74%,0.2153
835,21-15-3,RELU,MSE,500,0.0001,0.5,95.74%,0.2165
106,21-15-3,ISRLU,CEE,300,0.0001,0.95,95.74%,0.2249
857,21-20-3,RELU,MSE,300,0.0001,0.95,95.74%,0.2381
995,21-20-45-3,ISRLU,CEE,300,0.01,0.95,95.53%,0.1991
1166,21-15-20-3,ISRLU,SSE,300,0.0001,0.5,95.53%,0.2216
104,21-20-3,ISRLU,CEE,500,0.0001,0.95,95.53%,0.2231
402,21-12-3,TANH,CEE,500,0.0001,0.5,95.53%,0.2587
989,21-20-45-3,ISRLU,CEE,500,0.01,0.95,95.32%,0.2021
654,21-12-3,RELU,CEE,500,0.01,0.5,95.32%,0.2035
772,21-15-3,RELU,MSE,300,0.01,0.75,95.32%,0.2035
753,21-12-3,RELU,CEE,300,0.0001,0.95,95.32%,0.2276
320,21-20-3,ISRLU,SSE,500,0.0001,0.95,95.32%,0.2311
1021,21-20-45-3,ISRLU,CEE,500,0.0001,0.5,95.32%,0.232
973,21-20-45-3,ISRLU,CEE,500,0.01,0.5,95.11%,0.2025
720,21-12-3,RELU,CEE,500,0.0001,0.5,95.11%,0.2099
786,21-12-3,RELU,MSE,500,0.01,0.95,95.11%,0.2099
949,21-15-3,RELU,SSE,500,0.0001,0.75,95.11%,0.2121
96,21-12-3,ISRLU,CEE,500,0.0001,0.95,95.11%,0.2237
301,21-15-3,ISRLU,SSE,500,0.0001,0.75,95.11%,0.2296
1115,21-20-45-3,ISRLU,MSE,300,0.0001,0.95,95.11%,0.232
186,21-12-3,ISRLU,MSE,500,0.0001,0.5,95.11%,0.2346
1237,21-20-45-3,TANH,CEE,500,0.0001,0.5,95.11%,0.2601
1248,21-15-20-3,TANH,CEE,500,0.0001,0.75,95.11%,0.2653
427,21-15-3,TANH,CEE,500,0.0001,0.95,95.11%,0.2675
895,21-15-3,RELU,SSE,500,0.01,0.95,94.89%,0.209
22,21-15-3,ISRLU,CEE,300,0.01,0.75,94.89%,0.2102
1026,21-15-20-3,ISRLU,CEE,300,0.0001,0.5,94.89%,0.2203
1178,21-15-20-3,ISRLU,SSE,300,0.0001,0.75,94.89%,0.2214
1104,21-15-20-3,ISRLU,MSE,500,0.0001,0.75,94.89%,0.2224
856,21-15-3,RELU,MSE,300,0.0001,0.95,94.89%,0.2231
853,21-15-3,RELU,MSE,500,0.0001,0.95,94.89%,0.2248
854,21-20-3,RELU,MSE,500,0.0001,0.95,94.89%,0.2354
663,21-12-3,RELU,CEE,300,0.01,0.75,94.68%,0.2004
975,21-20-45-3,ISRLU,CEE,300,0.01,0.5,94.68%,0.2061
741,21-12-3,RELU,CEE,300,0.0001,0.75,94.68%,0.2129
697,21-15-3,RELU,CEE,500,0.001,0.75,94.68%,0.2295
690,21-12-3,RELU,CEE,500,0.001,0.5,94.47%,0.2119
314,21-20-3,ISRLU,SSE,500,0.0001,0.95,94.47%,0.2154
1239,21-20-45-3,TANH,CEE,300,0.0001,0.5,94.47%,0.2695
1,21-15-3,ISRLU,CEE,500,0.01,0.5,94.26%,0.2084
1094,21-15-20-3,ISRLU,MSE,300,0.0001,0.5,94.26%,0.2176
868,21-15-3,RELU,SSE,300,0.01,0.5,94.26%,0.2188
1176,21-15-20-3,ISRLU,SSE,500,0.0001,0.75,94.26%,0.2213
212,21-20-3,ISRLU,MSE,500,0.0001,0.95,94.26%,0.2356
201,21-12-3,ISRLU,MSE,300,0.0001,0.75,94.26%,0.2367
699,21-12-3,RELU,CEE,300,0.001,0.75,94.04%,0.2095
992,21-15-20-3,ISRLU,CEE,500,0.01,0.95,94.04%,0.2118
820,21-15-3,RELU,MSE,300,0.001,0.95,94.04%,0.2143
1092,21-15-20-3,ISRLU,MSE,500,0.0001,0.5,94.04%,0.2223
288,21-12-3,ISRLU,SSE,500,0.0001,0.5,94.04%,0.2313
800,21-20-3,RELU,MSE,500,0.001,0.5,93.83%,0.2104
751,21-15-3,RELU,CEE,500,0.0001,0.95,93.83%,0.2126
180,21-12-3,ISRLU,MSE,500,0.0001,0.5,93.83%,0.2338
944,21-20-3,RELU,SSE,500,0.0001,0.5,93.62%,0.2204
845,21-20-3,RELU,MSE,300,0.0001,0.75,93.62%,0.2337
947,21-20-3,RELU,SSE,300,0.0001,0.5,93.62%,0.2385
754,21-15-3,RELU,CEE,300,0.0001,0.95,93.62%,0.2512
729,21-12-3,RELU,CEE,300,0.0001,0.5,93.40%,0.2151
983,21-20-45-3,ISRLU,CEE,300,0.01,0.75,93.40%,0.2159
836,21-20-3,RELU,MSE,500,0.0001,0.5,93.40%,0.2216
1107,21-20-45-3,ISRLU,MSE,300,0.0001,0.75,93.40%,0.2365
732,21-12-3,RELU,CEE,500,0.0001,0.75,93.40%,0.2367
999,21-20-45-3,ISRLU,CEE,300,0.001,0.5,93.40%,0.2374
408,21-12-3,TANH,CEE,500,0.0001,0.75,93.40%,0.2711
815,21-20-3,RELU,MSE,300,0.001,0.75,93.19%,0.2193
929,21-20-3,RELU,SSE,300,0.001,0.95,93.19%,0.2193
838,21-15-3,RELU,MSE,300,0.0001,0.5,93.19%,0.2219
1174,21-15-20-3,ISRLU,SSE,300,0.0001,0.75,93.19%,0.23
653,21-20-3,RELU,CEE,300,0.01,0.5,92.98%,0.2066
875,21-20-3,RELU,SSE,300,0.01,0.5,92.98%,0.2108
91,21-15-3,ISRLU,CEE,500,0.0001,0.75,92.98%,0.22
781,21-15-3,RELU,MSE,500,0.01,0.95,92.98%,0.225
798,21-12-3,RELU,MSE,500,0.001,0.5,92.98%,0.2275
1171,21-20-45-3,ISRLU,SSE,300,0.0001,0.5,92.98%,0.2321
724,21-15-3,RELU,CEE,300,0.0001,0.5,92.77%,0.2121
1100,21-15-20-3,ISRLU,MSE,500,0.0001,0.75,92.77%,0.2136
315,21-12-3,ISRLU,SSE,300,0.0001,0.95,92.77%,0.2278
869,21-20-3,RELU,SSE,300,0.01,0.5,92.77%,0.2321
725,21-20-3,RELU,CEE,300,0.0001,0.5,92.77%,0.2331
204,21-12-3,ISRLU,MSE,500,0.0001,0.95,92.77%,0.2338
88,21-15-3,ISRLU,CEE,300,0.0001,0.75,92.77%,0.246
962,21-20-3,RELU,SSE,500,0.0001,0.95,92.77%,0.252
410,21-20-3,TANH,CEE,500,0.0001,0.75,92.77%,0.2678
749,21-20-3,RELU,CEE,300,0.0001,0.95,92.55%,0.2192
839,21-20-3,RELU,MSE,300,0.0001,0.5,92.55%,0.2318
1108,21-15-20-3,ISRLU,MSE,500,0.0001,0.95,92.55%,0.232
8,21-20-3,ISRLU,CEE,500,0.01,0.5,92.34%,0.2099
915,21-12-3,RELU,SSE,300,0.001,0.75,92.34%,0.2188
107,21-20-3,ISRLU,CEE,300,0.0001,0.95,92.34%,0.226
824,21-20-3,RELU,MSE,500,0.001,0.95,92.34%,0.2302
1168,21-15-20-3,ISRLU,SSE,500,0.0001,0.5,92.34%,0.2395
968,21-20-3,RELU,SSE,500,0.0001,0.95,92.34%,0.2438
955,21-15-3,RELU,SSE,500,0.0001,0.75,92.34%,0.244
414,21-12-3,TANH,CEE,500,0.0001,0.75,92.34%,0.2636
160,21-15-3,ISRLU,MSE,300,0.001,0.75,92.13%,0.2349
190,21-15-3,ISRLU,MSE,300,0.0001,0.5,92.13%,0.2378
210,21-12-3,ISRLU,MSE,500,0.0001,0.95,91.91%,0.2327
945,21-12-3,RELU,SSE,300,0.0001,0.5,91.91%,0.2356
289,21-15-3,ISRLU,SSE,500,0.0001,0.5,91.91%,0.2366
1095,21-20-45-3,ISRLU,MSE,300,0.0001,0.5,91.91%,0.2372
199,21-15-3,ISRLU,MSE,500,0.0001,0.75,91.91%,0.2416
409,21-15-3,TANH,CEE,500,0.0001,0.75,91.91%,0.2612
863,21-20-3,RELU,MSE,300,0.0001,0.95,91.70%,0.2257
930,21-12-3,RELU,SSE,500,0.001,0.95,91.70%,0.2332
1179,21-20-45-3,ISRLU,SSE,300,0.0001,0.75,91.70%,0.234
1110,21-15-20-3,ISRLU,MSE,300,0.0001,0.95,91.70%,0.2366
290,21-20-3,ISRLU,SSE,500,0.0001,0.5,91.70%,0.2378
307,21-15-3,ISRLU,SSE,500,0.0001,0.75,91.28%,0.2259
313,21-15-3,ISRLU,SSE,500,0.0001,0.95,91.28%,0.2335
924,21-12-3,RELU,SSE,500,0.001,0.95,91.28%,0.2379
735,21-12-3,RELU,CEE,300,0.0001,0.75,91.06%,0.2299
195,21-12-3,ISRLU,MSE,300,0.0001,0.75,91.06%,0.2365
214,21-15-3,ISRLU,MSE,300,0.0001,0.95,91.06%,0.2371
849,21-12-3,RELU,MSE,300,0.0001,0.75,91.06%,0.2427
209,21-20-3,ISRLU,MSE,300,0.0001,0.95,91.06%,0.2446
678,21-12-3,RELU,CEE,500,0.01,0.95,90.85%,0.2176
651,21-12-3,RELU,CEE,300,0.01,0.5,90.85%,0.2198
685,21-15-3,RELU,CEE,500,0.001,0.5,90.85%,0.2215
1022,21-20-45-3,ISRLU,CEE,300,0.0001,0.5,90.85%,0.227
1111,21-20-45-3,ISRLU,MSE,300,0.0001,0.95,90.85%,0.2367
197,21-20-3,ISRLU,MSE,300,0.0001,0.75,90.85%,0.2385
187,21-15-3,ISRLU,MSE,500,0.0001,0.5,90.85%,0.2397
189,21-12-3,ISRLU,MSE,300,0.0001,0.5,90.85%,0.247
206,21-20-3,ISRLU,MSE,500,0.0001,0.95,90.64%,0.2406
305,21-20-3,ISRLU,SSE,300,0.0001,0.75,90.64%,0.2428
293,21-20-3,ISRLU,SSE,300,0.0001,0.5,90.64%,0.2448
1208,21-15-20-3,TANH,CEE,500,0.01,0.95,90.64%,0.2644
818,21-20-3,RELU,MSE,500,0.001,0.95,90.43%,0.2357
296,21-20-3,ISRLU,SSE,500,0.0001,0.5,90.43%,0.2426
323,21-20-3,ISRLU,SSE,300,0.0001,0.95,90.43%,0.2482
1236,21-15-20-3,TANH,CEE,500,0.0001,0.5,90.43%,0.2628
987,21-20-45-3,ISRLU,CEE,300,0.01,0.75,90.21%,0.2373
304,21-15-3,ISRLU,SSE,300,0.0001,0.75,90.21%,0.2501
1037,21-15-20-3,ISRLU,CEE,300,0.0001,0.95,90.21%,0.254
1106,21-15-20-3,ISRLU,MSE,300,0.0001,0.75,90.00%,0.2358
105,21-12-3,ISRLU,CEE,300,0.0001,0.95,90.00%,0.24
803,21-20-3,RELU,MSE,300,0.001,0.5,90.00%,0.2432
422,21-20-3,TANH,CEE,500,0.0001,0.95,90.00%,0.2635
404,21-20-3,TANH,CEE,500,0.0001,0.5,90.00%,0.2728
908,21-20-3,RELU,SSE,500,0.001,0.5,89.79%,0.2401
294,21-12-3,ISRLU,SSE,500,0.0001,0.5,89.79%,0.2463
300,21-12-3,ISRLU,SSE,500,0.0001,0.75,89.57%,0.2379
953,21-20-3,RELU,SSE,300,0.0001,0.75,89.57%,0.2433
181,21-15-3,ISRLU,MSE,500,0.0001,0.5,89.36%,0.2402
45,21-12-3,ISRLU,CEE,300,0.001,0.5,89.36%,0.2433
966,21-12-3,RELU,SSE,500,0.0001,0.95,89.36%,0.2434
1086,21-15-20-3,ISRLU,MSE,500,0.001,0.95,89.36%,0.2478
814,21-15-3,RELU,MSE,300,0.001,0.75,89.15%,0.2394
316,21-15-3,ISRLU,SSE,300,0.0001,0.95,89.15%,0.2446
1207,21-20-45-3,TANH,CEE,300,0.01,0.95,89.15%,0.2603
939,21-15-3,RELU,SSE,300,0.0001,0.5,88.94%,0.2415
1164,21-15-20-3,ISRLU,SSE,500,0.0001,0.5,88.94%,0.2419
859,21-15-3,RELU,MSE,500,0.0001,0.95,88.94%,0.2452
990,21-15-20-3,ISRLU,CEE,300,0.01,0.95,88.72%,0.2261
918,21-12-3,RELU,SSE,500,0.001,0.75,88.72%,0.2365
830,21-20-3,RELU,MSE,500,0.0001,0.5,88.72%,0.2385
851,21-20-3,RELU,MSE,300,0.0001,0.75,88.72%,0.2443
941,21-20-3,RELU,SSE,300,0.0001,0.5,88.72%,0.2586
834,21-12-3,RELU,MSE,500,0.0001,0.5,88.51%,0.2414
1098,21-15-20-3,ISRLU,MSE,300,0.0001,0.5,88.51%,0.2557
295,21-15-3,ISRLU,SSE,500,0.0001,0.5,88.51%,0.2642
317,21-20-3,ISRLU,SSE,300,0.0001,0.95,88.30%,0.245
321,21-12-3,ISRLU,SSE,300,0.0001,0.95,88.30%,0.2475
182,21-20-3,ISRLU,MSE,500,0.0001,0.5,88.30%,0.2478
200,21-20-3,ISRLU,MSE,500,0.0001,0.75,88.30%,0.2544
534,21-12-3,TANH,MSE,500,0.0001,0.95,88.30%,0.2662
319,21-15-3,ISRLU,SSE,500,0.0001,0.95,88.09%,0.2436
843,21-12-3,RELU,MSE,300,0.0001,0.75,88.09%,0.2446
303,21-12-3,ISRLU,SSE,300,0.0001,0.75,88.09%,0.246
184,21-15-3,ISRLU,MSE,300,0.0001,0.5,88.09%,0.2479
302,21-20-3,ISRLU,SSE,500,0.0001,0.75,88.09%,0.2513
292,21-15-3,ISRLU,SSE,300,0.0001,0.5,88.09%,0.2583
855,21-12-3,RELU,MSE,300,0.0001,0.95,88.09%,0.2651
956,21-20-3,RELU,SSE,500,0.0001,0.75,87.87%,0.2358
687,21-12-3,RELU,CEE,300,0.001,0.5,87.66%,0.2165
203,21-20-3,ISRLU,MSE,300,0.0001,0.75,87.66%,0.2571
194,21-20-3,ISRLU,MSE,500,0.0001,0.75,87.45%,0.2423
299,21-20-3,ISRLU,SSE,300,0.0001,0.5,87.45%,0.2485
311,21-20-3,ISRLU,SSE,300,0.0001,0.75,87.23%,0.2476
298,21-15-3,ISRLU,SSE,300,0.0001,0.5,87.02%,0.2573
185,21-20-3,ISRLU,MSE,300,0.0001,0.5,86.81%,0.2477
529,21-15-3,TANH,MSE,500,0.0001,0.95,86.81%,0.2599
397,21-15-3,TANH,CEE,500,0.0001,0.5,86.60%,0.2698
848,21-20-3,RELU,MSE,500,0.0001,0.75,86.38%,0.2415
797,21-20-3,RELU,MSE,300,0.001,0.5,86.38%,0.2501
191,21-20-3,ISRLU,MSE,300,0.0001,0.5,86.38%,0.2575
1102,21-15-20-3,ISRLU,MSE,300,0.0001,0.75,86.38%,0.2656
844,21-15-3,RELU,MSE,300,0.0001,0.75,86.38%,0.2712
192,21-12-3,ISRLU,MSE,500,0.0001,0.75,86.17%,0.2418
1114,21-15-20-3,ISRLU,MSE,300,0.0001,0.95,86.17%,0.245
810,21-12-3,RELU,MSE,500,0.001,0.75,86.17%,0.2468
309,21-12-3,ISRLU,SSE,300,0.0001,0.75,86.17%,0.2629
684,21-12-3,RELU,CEE,500,0.001,0.5,85.96%,0.2434
655,21-15-3,RELU,CEE,500,0.01,0.5,85.96%,0.2724
1170,21-15-20-3,ISRLU,SSE,300,0.0001,0.5,85.74%,0.2503
861,21-12-3,RELU,MSE,300,0.0001,0.95,85.74%,0.2531
193,21-15-3,ISRLU,MSE,500,0.0001,0.75,85.74%,0.2573
833,21-20-3,RELU,MSE,300,0.0001,0.5,85.74%,0.2615
636,21-12-3,TANH,SSE,500,0.0001,0.95,85.74%,0.2636
867,21-12-3,RELU,SSE,300,0.01,0.5,85.53%,0.2526
207,21-12-3,ISRLU,MSE,300,0.0001,0.95,85.53%,0.2546
970,21-15-3,RELU,SSE,300,0.0001,0.95,85.53%,0.2631
937,21-20-3,RELU,SSE,500,0.0001,0.5,85.53%,0.2751
297,21-12-3,ISRLU,SSE,300,0.0001,0.5,85.32%,0.2542
205,21-15-3,ISRLU,MSE,500,0.0001,0.95,85.32%,0.2631
318,21-12-3,ISRLU,SSE,500,0.0001,0.95,85.32%,0.2674
213,21-12-3,ISRLU,MSE,300,0.0001,0.95,85.32%,0.2703
620,21-20-3,TANH,SSE,500,0.0001,0.5,85.11%,0.2647
809,21-20-3,RELU,MSE,300,0.001,0.75,84.89%,0.2581
632,21-20-3,TANH,SSE,500,0.0001,0.75,84.89%,0.263
938,21-12-3,RELU,SSE,300,0.0001,0.5,84.89%,0.2635
612,21-12-3,TANH,SSE,500,0.0001,0.5,84.68%,0.2671
1182,21-15-20-3,ISRLU,SSE,300,0.0001,0.95,84.47%,0.2602
412,21-15-3,TANH,CEE,300,0.0001,0.75,84.47%,0.2767
840,21-12-3,RELU,MSE,500,0.0001,0.75,84.26%,0.2633
511,21-15-3,TANH,MSE,500,0.0001,0.5,84.26%,0.2647
958,21-15-3,RELU,SSE,300,0.0001,0.75,84.04%,0.2611
668,21-20-3,RELU,CEE,500,0.01,0.75,84.04%,0.2669
504,21-12-3,TANH,MSE,500,0.0001,0.5,83.83%,0.2655
959,21-20-3,RELU,SSE,300,0.0001,0.75,83.62%,0.2432
310,21-15-3,ISRLU,SSE,300,0.0001,0.75,83.62%,0.2552
536,21-20-3,TANH,MSE,500,0.0001,0.95,83.40%,0.2688
405,21-12-3,TANH,CEE,300,0.0001,0.5,83.40%,0.287
841,21-15-3,RELU,MSE,500,0.0001,0.75,82.98%,0.261
644,21-20-3,TANH,SSE,500,0.0001,0.95,82.98%,0.2713
369,21-12-3,TANH,CEE,300,0.001,0.5,82.98%,0.2819
1199,21-20-45-3,TANH,CEE,300,0.01,0.75,82.98%,0.2822
624,21-12-3,TANH,SSE,500,0.0001,0.75,82.77%,0.2664
208,21-15-3,ISRLU,MSE,300,0.0001,0.95,82.77%,0.2688
509,21-20-3,TANH,MSE,300,0.0001,0.5,82.77%,0.2732
415,21-15-3,TANH,CEE,500,0.0001,0.75,82.77%,0.2766
429,21-12-3,TANH,CEE,300,0.0001,0.95,82.77%,0.2895
1201,21-20-45-3,TANH,CEE,500,0.01,0.75,82.59%,0.2818
1183,21-20-45-3,ISRLU,SSE,300,0.0001,0.95,82.55%,0.2657
619,21-15-3,TANH,SSE,500,0.0001,0.5,82.55%,0.2767
631,21-15-3,TANH,SSE,500,0.0001,0.75,82.34%,0.2738
951,21-12-3,RELU,SSE,300,0.0001,0.75,82.34%,0.2742
1317,21-20-45-3,TANH,MSE,500,0.0001,0.75,82.34%,0.2751
388,21-15-3,TANH,CEE,300,0.001,0.95,82.34%,0.2831
1228,21-15-20-3,TANH,CEE,500,0.001,0.95,82.34%,0.2832
1232,21-15-20-3,TANH,CEE,500,0.001,0.95,82.34%,0.2832
1235,21-20-45-3,TANH,CEE,300,0.001,0.95,82.34%,0.2832
373,21-15-3,TANH,CEE,500,0.001,0.75,82.34%,0.2834
1223,21-20-45-3,TANH,CEE,300,0.001,0.75,82.34%,0.2834
1225,21-20-45-3,TANH,CEE,500,0.001,0.75,82.34%,0.2834
1226,21-15-20-3,TANH,CEE,300,0.001,0.75,82.34%,0.2834
1188,21-15-20-3,TANH,CEE,500,0.01,0.5,82.34%,0.284
348,21-12-3,TANH,CEE,500,0.01,0.95,82.34%,0.2851
351,21-12-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
1205,21-20-45-3,TANH,CEE,500,0.01,0.95,82.34%,0.2851
1206,21-15-20-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
1210,21-15-20-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
344,21-15-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
346,21-12-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
1196,21-15-20-3,TANH,CEE,500,0.01,0.75,82.34%,0.2852
1198,21-15-20-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
1190,21-15-20-3,TANH,CEE,300,0.01,0.5,82.34%,0.2854
1192,21-15-20-3,TANH,CEE,500,0.01,0.5,82.34%,0.2854
1194,21-15-20-3,TANH,CEE,300,0.01,0.5,82.34%,0.2854
1320,21-15-20-3,TANH,MSE,500,0.0001,0.75,82.13%,0.2718
1253,21-20-45-3,TANH,CEE,500,0.0001,0.95,82.13%,0.273
1257,21-20-45-3,TANH,CEE,500,0.0001,0.95,82.13%,0.2812
1244,21-15-20-3,TANH,CEE,500,0.0001,0.75,81.91%,0.2782
807,21-12-3,RELU,MSE,300,0.001,0.75,81.70%,0.2663
1252,21-15-20-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2718
514,21-15-3,TANH,MSE,300,0.0001,0.5,81.70%,0.2744
420,21-12-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2845
421,21-15-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2855
403,21-15-3,TANH,CEE,500,0.0001,0.5,81.70%,0.2874
1240,21-15-20-3,TANH,CEE,500,0.0001,0.5,81.70%,0.2874
1258,21-15-20-3,TANH,CEE,300,0.0001,0.95,81.49%,0.2944
927,21-12-3,RELU,SSE,300,0.001,0.95,81.28%,0.2416
960,21-12-3,RELU,SSE,500,0.0001,0.95,81.28%,0.2601
396,21-12-3,TANH,CEE,500,0.0001,0.5,81.28%,0.2648
528,21-12-3,TANH,MSE,500,0.0001,0.95,81.28%,0.2651
963,21-12-3,RELU,SSE,300,0.0001,0.95,81.28%,0.2663
713,21-20-3,RELU,CEE,300,0.001,0.95,81.28%,0.2685
842,21-20-3,RELU,MSE,500,0.0001,0.75,81.28%,0.2689
747,21-12-3,RELU,CEE,300,0.0001,0.95,81.28%,0.273
506,21-20-3,TANH,MSE,500,0.0001,0.5,81.06%,0.2777
746,21-20-3,RELU,CEE,500,0.0001,0.95,81.06%,0.2857
1255,21-20-45-3,TANH,CEE,300,0.0001,0.95,81.06%,0.2943
637,21-15-3,TANH,SSE,500,0.0001,0.95,80.85%,0.2691
1324,21-15-20-3,TANH,MSE,500,0.0001,0.95,80.85%,0.2742
202,21-15-3,ISRLU,MSE,300,0.0001,0.75,80.85%,0.2748
1254,21-15-20-3,TANH,CEE,300,0.0001,0.95,80.85%,0.2907
423,21-12-3,TANH,CEE,300,0.0001,0.95,80.85%,0.2908
