21-12-3,ISRLU,MSE,500,0.01,0.5,100.00%, 0.1880
21-15-3,ISRLU,MSE,500,0.01,0.5,99.79%, 0.1893
21-20-3,ISRLU,MSE,500,0.01,0.5,99.79%, 0.1930
21-12-3,ISRLU,MSE,300,0.01,0.5,99.36%, 0.1971
21-15-3,ISRLU,MSE,300,0.01,0.5,99.79%, 0.1879
21-20-3,ISRLU,MSE,300,0.01,0.5,100.00%, 0.1851
21-12-3,ISRLU,MSE,500,0.01,0.5,100.00%, 0.1853
21-15-3,ISRLU,MSE,500,0.01,0.5,99.79%, 0.1864
21-20-3,ISRLU,MSE,500,0.01,0.5,100.00%, 0.1844
21-12-3,ISRLU,MSE,300,0.01,0.5,99.57%, 0.1938
21-15-3,ISRLU,MSE,300,0.01,0.5,99.79%, 0.1912
21-20-3,ISRLU,MSE,300,0.01,0.5,99.79%, 0.1855
21-12-3,ISRLU,MSE,500,0.01,0.75,99.79%, 0.1883
21-15-3,ISRLU,MSE,500,0.01,0.75,99.79%, 0.1863
21-20-3,ISRLU,MSE,500,0.01,0.75,99.79%, 0.1904
21-12-3,ISRLU,MSE,300,0.01,0.75,100.00%, 0.1894
21-15-3,ISRLU,MSE,300,0.01,0.75,99.79%, 0.1893
21-20-3,ISRLU,MSE,300,0.01,0.75,97.66%, 0.2006
21-12-3,ISRLU,MSE,500,0.01,0.75,99.57%, 0.1940
21-15-3,ISRLU,MSE,500,0.01,0.75,100.00%, 0.1895
21-20-3,ISRLU,MSE,500,0.01,0.75,100.00%, 0.1886
21-12-3,ISRLU,MSE,300,0.01,0.75,99.36%, 0.1954
21-15-3,ISRLU,MSE,300,0.01,0.75,99.36%, 0.1977
21-20-3,ISRLU,MSE,300,0.01,0.75,99.79%, 0.1896
21-12-3,ISRLU,MSE,500,0.01,0.95,99.79%, 0.1912
21-15-3,ISRLU,MSE,500,0.01,0.95,100.00%, 0.1876
21-20-3,ISRLU,MSE,500,0.01,0.95,100.00%, 0.1919
21-12-3,ISRLU,MSE,300,0.01,0.95,99.79%, 0.1962
21-15-3,ISRLU,MSE,300,0.01,0.95,99.57%, 0.1871
21-20-3,ISRLU,MSE,300,0.01,0.95,99.79%, 0.1889
21-12-3,ISRLU,MSE,500,0.01,0.95,99.79%, 0.1864
21-15-3,ISRLU,MSE,500,0.01,0.95,99.79%, 0.1890
21-20-3,ISRLU,MSE,500,0.01,0.95,100.00%, 0.1852
21-12-3,ISRLU,MSE,300,0.01,0.95,99.79%, 0.1884
21-15-3,ISRLU,MSE,300,0.01,0.95,99.15%, 0.1904
21-20-3,ISRLU,MSE,300,0.01,0.95,99.57%, 0.1909
21-12-3,ISRLU,MSE,500,0.001,0.5,99.57%, 0.2010
21-15-3,ISRLU,MSE,500,0.001,0.5,97.66%, 0.1998
21-20-3,ISRLU,MSE,500,0.001,0.5,98.94%, 0.2003
21-12-3,ISRLU,MSE,300,0.001,0.5,99.15%, 0.2038
21-15-3,ISRLU,MSE,300,0.001,0.5,96.38%, 0.2071
21-20-3,ISRLU,MSE,300,0.001,0.5,99.79%, 0.2015
21-12-3,ISRLU,MSE,500,0.001,0.5,99.36%, 0.2003
21-15-3,ISRLU,MSE,500,0.001,0.5,98.09%, 0.2007
21-20-3,ISRLU,MSE,500,0.001,0.5,99.15%, 0.2014
21-12-3,ISRLU,MSE,300,0.001,0.5,98.72%, 0.2040
21-15-3,ISRLU,MSE,300,0.001,0.5,99.15%, 0.2043
21-20-3,ISRLU,MSE,300,0.001,0.5,99.36%, 0.2043
21-12-3,ISRLU,MSE,500,0.001,0.75,99.36%, 0.2029
21-15-3,ISRLU,MSE,500,0.001,0.75,99.57%, 0.2013
21-20-3,ISRLU,MSE,500,0.001,0.75,99.79%, 0.1975
21-12-3,ISRLU,MSE,300,0.001,0.75,98.94%, 0.2045
21-15-3,ISRLU,MSE,300,0.001,0.75,92.13%, 0.2349
21-20-3,ISRLU,MSE,300,0.001,0.75,98.94%, 0.2036
21-12-3,ISRLU,MSE,500,0.001,0.75,99.79%, 0.2019
21-15-3,ISRLU,MSE,500,0.001,0.75,98.30%, 0.2014
21-20-3,ISRLU,MSE,500,0.001,0.75,99.57%, 0.2000
21-12-3,ISRLU,MSE,300,0.001,0.75,98.09%, 0.2045
21-15-3,ISRLU,MSE,300,0.001,0.75,99.15%, 0.2044
21-20-3,ISRLU,MSE,300,0.001,0.75,98.72%, 0.2009
21-12-3,ISRLU,MSE,500,0.001,0.95,100.00%, 0.2011
21-15-3,ISRLU,MSE,500,0.001,0.95,99.79%, 0.1989
